,Author,Number of Publications
0,"Whisner, Mary",66
1,"Keele, Benjamin J.",22
2,"Sexton, Nick",21
3,"Houdek, Frank G.",21
4,"Danner, Richard A.",20
5,"Surrency, Erwin C.",16
6,"Wire, G. E.",16
7,"Mersky, Roy M.",14
8,"Scott, Bettie",14
9,"Thomas, David A.",13
10,"Roalfe, William R.",13
11,"Gardner, Dillard S.",12
12,"Miller, Creighton J. Jr.",12
13,"Holcomb, Jean M.",12
14,"Gallagher, Marian G.",11
15,"Atchison, Amy",11
16,"Marke, Julius J.",11
17,"Halvorsen, Catherine F.",10
18,"Cohen, Morris L.",10
19,"Zell, Annmarie Jean",10
20,"Whisner, Mary ",10
21,"Price, Miles O.",10
22,"Leary, Margaret A.",10
23,"Schanck, Peter C.",9
24,"Fitzpatrick, John T.",9
25,"Hicks, Frederick C.",9
26,"Howland, Joan S.",9
27,"Murley, Diane",9
28,"Jacobstein, J. Myron",9
29,"Grossman, George S.",8
30,"Stern, William B.",8
31,"Gasaway, Laura N.",8
32,"Poldervaart, Arie",8
33,"Fishman, Joel",8
34,"Lewis, Alfred J.",8
35,"Gabriel, Raquel J.",7
36,"Farmer, Frances",7
37,"Bitner, Harry",7
38,"Carter, Nancy Carol",7
39,"Wheeler, Ronald",7
40,"Small, A. J.",7
41,"Jaque, Diana C.",7
42,"Maxwell, Lynne F.",7
43,"Saunders, Myra K.",7
44,"Danner, Dick",7
45,"Brenner, Saul",7
46,"Kehoe, Patrick E.",6
47,"Bander, Ed",6
48,"Hargrave, Helen",6
49,"Mart, Susan Nevelow",6
50,"Jackson, Darla W.",6
51,"Gragg, Phillip",6
52,"Briscoe, Georgia",6
53,"Schwerin, Kurt",6
54,"Germain, Claire M.",6
55,"Pollack, Ervin H.",6
56,"Finley, Elizabeth",6
57,"Forgeus, Elizabeth",6
58,"deMaine, Susan David",6
59,"Cadra, Laura",6
60,"Drummond, Forrest S.",6
61,"Edwards, John D.",5
62,"Kavass, Igor I.",5
63,"Ochal, Bethany J.",5
64,"Youmans, Alice I.",5
65,"Moreland, Carroll C.",5
66,"Gonzalez, Silvia A.",5
67,"Bander, Edward J.",5
68,"Johnson, Bruce S.",5
69,"Davies, Bernita J.",5
70,"Berring, Robert C.",5
71,"Holt, A. Elizabeth",5
72,"Kenyon, Carleton W.",5
73,"Sellers, Christine L.",5
74,"Matthews, Elizabeth W.",5
75,"Axel-Lute, Paul",5
76,"Emery, Robert A.",5
77,"Martin, Peter W.",5
78,"Heller, James S.",5
79,"Graham, Howard Jay",5
80,"Bluh, Pamela",5
81,"Stebbins, Howard L.",5
82,"Johnson, Nancy P.",5
83,"Sinder, Janet",5
84,"Zell, Annmarie",5
85,"Grove, Kathleen S.",4
86,"Mignanelli, Nicholas",4
87,"Hellyer, Paul",4
88,"Taylor, Betty W.",4
89,"Foster, Lynn",4
90,"Allen, Cameron",4
91,"Leiserson, Anna Belle",4
92,"Rosen, Louis M.",4
93,"Cannan, John",4
94,"Dabagh, Thomas S.",4
95,"Slinger, Michael J.",4
96,"Baker, Jamie J.",4
97,"Dee, Mathew F.",4
98,"Bintliff, Barbara",4
99,"Sterling, W. Clinton",4
100,"Scott, Bettie H.",4
101,"Nevers, Shawn G.",4
102,"Lang, Isa",4
103,"Healey, Paul D.",4
104,"Ellenberger, Jack S.",4
105,"Kauffman, S. Blair",4
106,"Reynolds, Thomas H.",4
107,"Margeton, Stephen G.",4
108,"Newman, Helen",4
109,"Greenfield, Elizabeth A.",4
110,"Blaustein, Albert P.",4
111,"King, Dwight",4
112,"Billings, Warren M.",4
113,"Parma, Rosamond",4
114,"Miller, Creighton J.",4
115,"Koster, Gregory E.",4
116,"Schwartz, Mortimer",4
117,"Wheeler, Ronald E.",4
118,"Callister, Paul D.",4
119,"Gee, Pauline E.",4
120,"Glasier, Gilson G.",4
121,"McKenzie, Elizabeth M.",4
122,"Hogan, John C.",4
123,"Lenz, Connie",4
124,"Morse, Anita L.",4
125,"Johnston, Janis L.",4
126,"Pagel, Scott B.",3
127,"Price, M. Kathleen",3
128,"Price, Kathleen",3
129,"Scott, Marianne",3
130,"Benemann, William E.",3
131,"Jarvis, Robert M.",3
132,"Young, Stephen E.",3
133,"Roehrenbeck, Carol A.",3
134,"Borgeson, Earl C.",3
135,"Prince, Huberta A.",3
136,"Smith, Frederick E.",3
137,"Heckel, John W.",3
138,"Makdisi, John",3
139,"Hart, Edward T.",3
140,"Moylan, Helen S.",3
141,"Carrick, Kathleen",3
142,"Talley, Nancy B.",3
143,"Duggan, James E.",3
144,"Sears, Dennis S.",3
145,"Bird, Viola A.",3
146,"Lathrop, Olive C.",3
147,"Yirka, Carl A.",3
148,"Reams, Bernard D. Jr.",3
149,"Lukes, Frank",3
150,"Zhang, Alex",3
151,"Snyder, Fritz",3
152,"Klingelsmith, Margaret Center",3
153,"Newman, Marie Stefanini",3
154,"Beardsley, Arthur S.",3
155,"Schultz, Jon S.",3
156,"Dunn, Donald J.",3
157,"Ellinger, Werner B.",3
158,"Kelsh, Virginia J.",3
159,"Marks, Taryn",3
160,"Torres, Arturo L.",3
161,"Werner, O. James",3
162,"Ruppenthal, J. C.",3
163,"Azyndar, Susan",3
164,"Milles, James G.",3
165,"Alford, Duncan E.",3
166,"Barkan, Steven M.",3
167,"Rogers, Ralph V.",3
168,"Dick, Barrett",3
169,"Enyingi, Peter",3
170,"Riggs, Laurie H.",3
171,"Schwartz, Mortimer D.",3
172,"Brecht, Albert",3
173,"Donovan, James M.",3
174,"Wu, Michelle M.",3
175,"Daly, Gail M.",3
176,"Shediac, Margaret",3
177,"Schriefer, Kent",3
178,"Hambleton, James",3
179,"Custer, Joseph A.",3
180,"Berkowitz, Rhoda L.",3
181,"Morse, Lewis W.",3
182,"Lyon, Frances D.",3
183,"Mills, Robin K.",3
184,"Shucha, Bonnie",3
185,"Bailey, James F. III",3
186,"Will, Linda",3
187,"Tree, Everdeen",3
188,"Murley, Diane ",3
189,"McKavitt, Matthew A.",3
190,"Trelles, Oscar M.",3
191,"Oakley, Robert L.",3
192,"Thurston, Alyssa",3
193,"Elliott, Lucile",3
194,"Kronick, David A.",2
195,"Holcolmb, Jean M.",2
196,"Zagayko, Florence Ferner",2
197,"Cadra, Laura ",2
198,"Dingledy, Frederick W.",2
199,"Pettinato, Tammy R. ",2
200,"Westwood, Karen",2
201,"O'Connor, Linda Karr",2
202,"Clarke, Oscar D.",2
203,"Niedringhaus, Kristina L.",2
204,"Beck, Karen S.",2
205,"Begg, Robert T.",2
206,"Gotschall, Sarah",2
207,"Mills, Grace M.",2
208,"Behrens, Jennifer L.",2
209,"Goldman, Pearl",2
210,"Chipman, Frank E.",2
211,"Leonard, James",2
212,"Breuer, Ernest H.",2
213,"Brown, Kincaid C.",2
214,"Goldblatt, Margaret A.",2
215,"Danner, Richard A. ",2
216,"Moody, Myrtle A.",2
217,"Gruben, Karl",2
218,"Merryman, John Henry",2
219,"Margeton, Steve",2
220,"Daniels, Wes",2
221,"Roalfe, Helen",2
222,"Staheli, Kory D.",2
223,"Losee, Madeleine W.",2
224,"Heuvel, Kathleen Vanden",2
225,"Guild, Frederic H.",2
226,"Vreeland, Robert C.",2
227,"Samuels, Warren J.",2
228,"Cooper, Laura J.",2
229,"Kearley, Timothy G.",2
230,"Pulling, Arthur C.",2
231,"Hook, Peter A.",2
232,"Goldberg, Jolande E.",2
233,"Wajenberg, Arnold",2
234,"Leiter, Richard A.",2
235,"Hoeflich, M. H.",2
236,"Klinefelter, Anne",2
237,"Kwan, Cecilia Hing Ling",2
238,"Mettee, Andrew H.",2
239,"Zick, Kenneth A.",2
240,"Richmond, Michael L.",2
241,"Harrington, William G.",2
242,"Snook, Helen A.",2
243,"Cochran, J. Wesley",2
244,"Dyer, Charles R.",2
245,"Cooper, Byron D.",2
246,"Kearley, Timothy",2
247,"Lynch, Michael J.",2
248,"Sargent, Mark A.",2
249,"Butler, A. Hays",2
250,"Estes, Mark E.",2
251,"Garcia, Lana Caswell",2
252,"Belniak, Theodora",2
253,"Hoeflich, Michael H.",2
254,"Gummere, John S.",2
255,"Sass, Stephen L.",2
256,"Orman, Oscar C. ",2
257,"Dupont, Jerry",2
258,"Campos, Martha Cook",2
259,"Bintliff, Barbara A.",2
260,"Windsor, Steve",2
261,"Dabney, Daniel P.",2
262,"Bredemeyer, Carol",2
263,"Wren, Jill Robinson",2
264,"Petit, Michael J.",2
265,"Quarles, Brandon D.",2
266,"Farmer, Jill Anne",2
267,"Raisch, Marylin J.",2
268,"Moys, Elizabeth M.",2
269,"Garner, Kathy",2
270,"McCluer, Molly",2
271,"Allred, Carol B.",2
272,"Bedard, Laura A.",2
273,"Holcomb, Jean M. ",2
274,"French, Harriet L.",2
275,"Myers, Anne K.",2
276,"Watts, Tim J.",2
277,"Smith, Louis Charles",2
278,"Lindquist, Raymond C.",2
279,"Hyman, Harold M.",2
280,"Smith, Robert S.",2
281,"Elliott, Lucile M.",2
282,"Millican, Rita",2
283,"Eakins, W. George",2
284,"Murray, James M.",2
285,"Dahl, Richard C.",2
286,"Leary, John C.",2
287,"Stoljar, Samuel J.",2
288,"Janto, Joyce Manna",2
289,"Wren, Christopher G.",2
290,"Alexander, W. H.",2
291,"Galligan, Sara",2
292,"Belgum, Kathie",2
293,"Metzmeier, Kurt X.",2
