,Author,Number of Publications
0,"Healey, Paul D.",54
1,"Catterall, Susan",34
2,"Baish, Mary Alice",33
3,"Feltren, Emily",31
4,"Estes, Mark E.",28
5,"Vanderlin, Scott",25
6,"Estes, Mark",24
7,"Lemmer, Catherine A.",24
8,"Nash, Maribel",22
9,"Lastres, Steven A.",21
10,"Niedringhaus, Kristina L.",20
11,"Riccio, Holly M.",15
12,"Duggan, James E.",12
13,"Knight, Dolly M.",12
14,"Estes, Mark E. ",11
15,"Davison, Andre",11
16,"Janto, Joyce Manna",10
17,"Miles, Kevin",10
18,"Cosby, Michelle",10
19,"Selden, David",10
20,"Lemann, Catherine",10
21,"Rodriguez, Marcelo",9
22,"Rusin, Deborah",9
23,"Houdek, Frank G.",9
24,"Burch, Sue",9
25,"Florio, Emily R.",9
26,"Anderson, Steven P.",9
27,"Lambert, Greg",9
28,"Cadmus, Femi",8
29,"Childs, Miriam",8
30,"Kirk, Darcy",8
31,"Steenken, Beau",7
32,"Stiverson, Keith Ann",7
33,"Wheeler, Ronald E. Jr.",7
34,"Hale-Janeke, Amy",7
35,"Ching, Tina S.",7
36,"Megerman, Shira",7
37,"Wenger, Jean M.",7
38,"Spohr, Cindy",7
39,"Cannan, John",7
40,"Brown, Kathleen",7
41,"Leiter, Richard",7
42,"Dyszlewski, Nicole P.",6
43,"Warren, Gail",6
44,"Ottolenghi, Carol",6
45,"Alexander, Andrea",6
46,"Johnson, Liz McCurry",5
47,"Fessenden, Ann T. ",5
48,"Balleste, Roy",5
49,"Dewey, Michelle Hook",5
50,"Browne, Kelly",5
51,"Sullivan, Kathie J.",5
52,"Maes, Margaret K.",5
53,"Neary, Mary Ann",5
54,"Etheredge, Stacy",5
55,"Shear, Joan",5
56,"Rumsey, Mary",5
57,"Heller, James S.",5
58,"Knight, Dolly",5
59,"Healey, Paul",5
60,"Shucha, Bonnie",5
61,"Gediman, Mark",5
62,"Stouffer, Christine M.",5
63,"Bausch, Donna",5
64,"Rodriguez, Diane M.",5
65,"Germain, Claire M.",5
66,"Siebers, Susan P.",5
67,"Hill, Ruth J. ",4
68,"Duggan, James E. ",4
69,"Butler, Margaret",4
70,"de Perio Wittman, Jessica",4
71,"Russell, Anna",4
72,"Melnick, Todd",4
73,"Kribble, Meg",4
74,"Wambold, Sally",4
75,"Mart, Susan Nevelow",4
76,"Zook, Genevieve",4
77,"Anderson, Maureen",4
78,"Meadows, Judy",4
79,"Luo, Wei",4
80,"Mackler, Mark",4
81,"Alayan, Kristina J.",4
82,"Sampson, Sara",4
83,"Holterhoff, Sally",4
84,"Cheney, Mari",4
85,"Klinefelter, Anne",4
86,"Laskowski, Casandra",4
87,"Williams, Austin Martin",4
88,"Dunn, Catherine M.",4
89,"Bailey, Scott D.",4
90,"Lawson, Joseph D.",4
91,"Nejdl, Clanitra Stewart",4
92,"Friend, Shawn",4
93,"Sutherland, Sarah",4
94,"Schander, Deborah",4
95,"Eaton, Amy",4
96,"Brown, Cynthia",4
97,"Wang, Fang",4
98,"Murray, Jennifer S.",4
99,"Jones, Julie",4
100,"Barley, Jenn",4
101,"Hoffman, John",4
102,"Hu, Robert H.",4
103,"Canick, Simon",4
104,"Walters, Ed",4
105,"Sullivan, Karen",4
106,"Johnson, Phill W.",4
107,"Hill, Ruth J.",4
108,"Billings, Carol",4
109,"Junghahn, Lisa",3
110,"Flanagan, G. Patrick",3
111,"Carter, George",3
112,"MacMillan, Bridget",3
113,"Ball, Stephanie",3
114,"Strojny, Duane",3
115,"Todd, Kay",3
116,"Greenfield, Elizabeth A.",3
117,"Schneider, Linda-Jean",3
118,"Keele, Benjamin J.",3
119,"Taoultsides, George",3
120,"Branham, Alexis",3
121,"Sandwell-Weiss, Leah",3
122,"Wiseman, Megan",3
123,"Milles, James",3
124,"Spina, Carli",3
125,"Burke, Stephanie",3
126,"Westwood, Karen",3
127,"Marcum, Emily",3
128,"Matamoros, Alex Berrio",3
129,"Anders, Kelly Lynn",3
130,"Phillips, Kara",3
131,"Meadows, Judith",3
132,"Todd, Kay Moller",3
133,"Robbins, Anne",3
134,"Whiteman, Michael",3
135,"Hellyer, Paul",3
136,"Nevers, Shawn G.",3
137,"Hochstetler, Marcus",3
138,"Levine, Amy",3
139,"Huddleston, Brian",3
140,"Young, Stephen",3
141,"Christensen, Bret N.",3
142,"Kaczorowski, Monice M.",3
143,"Saltz, Ryan",3
144,"Finerty, Michele",3
145,"Robak, Michael",3
146,"Matthewman, Anne",3
147,"Fisher, Donna M.",3
148,"Briscoe, Georgia",3
149,"Giangrande, Mark",3
150,"Courtney, Kyle K.",3
151,"Tjaden, Ted",3
152,"Broussard, Camille",3
153,"Butterfield, Kevin",3
154,"Pinto, Holly",3
155,"Stock, Jonathan C.",3
156,"Sayward, Jacob",3
157,"Watson, Carol A.",3
158,"Coggins, Timothy L.",3
159,"Joyner, Zanada",3
160,"Fowler, Stacy",3
161,"Le, Avery",3
162,"O'Grady, Jean P.",3
163,"Oakley, Robert L.",3
164,"Agno, Kathleen",3
165,"Matchen, David E. Jr.",3
166,"Christian, Elizabeth",3
167,"Billings, Carol ",3
168,"Mauldin, Sarah K. C.",3
169,"Aranas, Pauline M.",3
170,"Todd, Kay M.",3
171,"Perry, Nichelle",3
172,"Myers, Anne",3
173,"Charles, Patrick",3
174,"Bredemeyer, Carol",3
175,"Axtmann, Margaret Maes",3
176,"Miller, Katrina M.",3
177,"Jefferson, Jordan",3
178,"Adkins, John W.",3
179,"Dalton, Shamika",3
180,"Humphries, LaJean",3
181,"Studwell, Bobbie",3
182,"Ginsberg, Debbie",3
183,"Mattson, Ingrid A. B.",3
184,"Ginsberg, Deborah",2
185,"Pettinato, Tammy",2
186,"Hirsh, Kenneth J.",2
187,"Frey, Scott",2
188,"Sutor, Alycia",2
189,"LeDoux, Elizabeth",2
190,"Brink, Robert J.",2
191,"Hackerson, Deborah",2
192,"Wheeler, Ronald E.",2
193,"White, Hollie C.",2
194,"Panella, Jessica",2
195,"Herrick, Susan",2
196,"Simoni, Christopher",2
197,"Miguel-Stearns, Teresa",2
198,"Mendez, Jennifer",2
199,"Lyles, Mary Beth Chappell",2
200,"Collins, Lauren M.",2
201,"Norton, Francis X. Jr.",2
202,"Evans, Rachel",2
203,"McKennerney, Christina",2
204,"Jaquette, Ellen Q.",2
205,"Vogel, Corrine",2
206,"Peros, Janet",2
207,"Lee, Mandy",2
208,"Cantwell, Jacqueline",2
209,"Moore, Elizabeth L.",2
210,"Bernstein, Mark P.",2
211,"Berns, Artie",2
212,"Bernstein, Mark P. ",2
213,"Richardson, Ellen",2
214,"Furlong, Jordan",2
215,"Zopfi-Jordan, David",2
216,"Pedini, John",2
217,"McClure, David",2
218,"Collins, Lauren",2
219,"Adelman, Beth",2
220,"Metheny, Ryan",2
221,"Engsberg, Mark",2
222,"Melton, Pamela Rogers",2
223,"Corman, Sheila",2
224,"Monte, Catherine",2
225,"Iaconeta, Christine",2
226,"Babb, Nancy",2
227,"Partin, Gail A.",2
228,"Barmakian, Deanna",2
229,"Trovillo, Michelle",2
230,"Willis, Jean L.",2
231,"Hanson, Fred",2
232,"Good, Stephen",2
233,"Chen, Sherry Xin",2
234,"Dugan, Joanne P.",2
235,"Park, Christine",2
236,"Acosta, Luis",2
237,"Digilio, John J.",2
238,"Seeger, Paula",2
239,"Arredondo, Pablo",2
240,"Affelt, Amy",2
241,"Biondo, Catherine M.",2
242,"Garton, Megan",2
243,"Purcell, Rachel",2
244,"Christiansen, Margaret",2
245,"Applebaum, Zena",2
246,"Smith, Regina",2
247,"Cordova, Daniel",2
248,"George, Paul",2
249,"Hu, Robert",2
250,"Brown, Linda C.",2
251,"Leong, Kelly",2
252,"Murray, Jennifer",2
253,"Laporte, Joshua",2
254,"Christensen, Bret N. ",2
255,"Dalton, Shamika D.",2
256,"Marsh, Katherine",2
257,"Niemeier, Cheryl",2
258,"Serfass, Melissa",2
259,"Rusin, Deborah L.",2
260,"Marshall, Katherine",2
261,"Harrington, Ryan",2
262,"Jost, Richard",2
263,"Kuehl, Heidi Frostestad",2
264,"Brillantine, Frances M.",2
265,"DeWitt, Adrienne",2
266,"Detweiler, Brian",2
267,"Plumb, Tawnya",2
268,"Lowry, Katherine",2
269,"Andeen, Sarah R.",2
270,"Baker, Jamie J.",2
271,"Skinner, Karen",2
272,"Reppe, Liz",2
273,"Kennedy, Jocelyn",2
274,"Glassmeyer, Sarah",2
275,"Mehlhorn, Saskia",2
276,"Aiken, Julian",2
277,"Coon, Kathleen M.",2
278,"Knight, Dolly M. ",2
279,"Holloway, Trina",2
280,"Stouffer, Christine",2
281,"Mathapo, Gail",2
282,"Harrell, Nick",2
283,"Lewis, Susan J.",2
284,"Blackburn, Sharon",2
285,"Scott, Patricia",2
286,"Gragg, Phillip",2
287,"Callister, Paul D.",2
288,"Cordova, Dan",2
289,"Guyer, Cindy",2
290,"Sears, Mariann",2
291,"Craigle, Valeri",2
292,"Lowry, Katherine M.",2
293,"Ryan, Sarah E.",2
294,"Pal, Anupama",2
295,"Johnson, Mary Pinard",2
296,"Ross, Abigail",2
297,"Ahlbrand, Ashley Ames",2
298,"Runyon, Amanda",2
299,"Lyons, Susan",2
300,"Liebert, June Hsiao",2
301,"Knecht, Elaine M.",2
302,"Jarrett, Peggy Roebuck",2
303,"Parsons, Patrick",2
304,"Stephens, Sarah",2
305,"Shephard, Karen",2
306,"Simmons, Heather J. E.",2
307,"Pabarja, Julie",2
308,"Leong, Kelly M.",2
309,"Mattson, Kurt R.",2
310,"Reeve Davis, Allison C.",2
311,"Johnsrud, Karin",2
312,"Seidler, Rena",2
313,"Kearney, Janet",2
314,"Han, Ning",2
315,"Sowards, Jason R.",2
316,"Dalglish, Jennifer",2
317,"Williams, Beth",2
318,"Hill, Ruth",2
319,"Szydlowski, Nick",2
320,"Krishnaswami, Julie Graves",2
321,"Hallows, Kristen M.",2
322,"Bowersox, Christine",2
323,"Stephens, Joe K.",2
324,"Meyer, Kurt",2
325,"Farrell, Elizabeth",2
326,"Pearlman, Stefanie S.",2
327,"Baker, Marcia Dority",2
328,"Valentin, Ryan",2
329,"Stilwell, Jocelyn",2
330,"Morales, Liana",2
331,"Carpino, Lindsey",2
332,"Donovan, James M.",2
333,"Will, Linda G.",2
334,"Mostad-Jensen, Anne",2
335,"Howard, Ame",2
336,"Moye, Ashley",2
337,"Mentkowski, Annie",2
338,"Osborne, Caroline",2
339,"Houdek, Frank G. ",2
340,"Cornaby, Mary",2
341,"Graesser, Chris",2
342,"Axtmann, Margaret Maes ",2
343,"Janeke, Amy Hale",2
344,"Gritton, Cheryl ",2
345,"Hotchkiss, Mary A.",2
346,"Dyer, Charles R.",2
347,"Taylor, Betty",2
348,"Schwartz, April",2
349,"Davis, Jean",2
350,"Thorpe, Suzanne",2
351,"Whelan, David",2
352,"Vallandingham, Christopher",2
353,"Anderson, Steve",2
354,"Thomas, Joe",2
355,"Long, Ann Walsh",2
356,"Billings, Carol D.",2
357,"Hook, Peter A.",2
358,"Duggan, James",2
359,"Cranford, Jessie",2
360,"McDade, Travis",2
361,"Nobunaga, Wendy ",2
362,"McKenzie, Elizabeth M.",2
363,"Kozlowski, Ken",2
364,"Potter, Ted",2
365,"Siber, Karen",2
366,"Stephens, Jennifer S.",2
367,"Percy, Kumar",2
368,"Holcomb, Jean M.",2
369,"Ortiz, Raquel M.",2
370,"Oates, Charles H.",2
371,"Postar, Adeen",2
372,"Anzalone, Filippa Marullo",2
373,"Trammell, Rebecca S.",2
374,"Duggan, Tom",2
375,"Levor, Ruth",2
376,"Curci-Gonzalez, Lucy",2
377,"Pillai, Karlye ",2
378,"Reddy, Michael B.",2
379,"Brown, Ladd",2
380,"Whisner, Mary",2
381,"Gontrum, Barbara",2
382,"Lewis, Sheri",2
383,"Baish, Mary Alice ",2
384,"French, Thomas",2
385,"Tulis, Susan E.",2
386,"Hasko, John J.",2
387,"Trotta, Victoria",2
388,"Sandison, Betsy",2
389,"Johnson, Hazel L.",2
390,"Baker, Brian L.",2
391,"McKenzie, Betsy",2
392,"Bird, Michael",1
393,"Buchanan, Kelly",1
394,"Martineau, Andrew",1
395,"Gualtier, Susan",1
396,"Glon, Christina",1
397,"Schlueter, Kay",1
398,"O'Connor, Sharon Hamby",1
399,"Trotter, Kathryn",1
400,"Hu, Haibin ",1
401,"Lapchet, Jaye A. H.",1
402,"McKeen, Ruth",1
403,"Melnick, Todd G. E.",1
404,"Magagnosc, Jacqueline",1
405,"Kim-Prieto, Dennis C.",1
406,"Shrager, Deborah E.",1
407,"Gorman, Michael",1
408,"Munno, Greg",1
409,"Holcomb, Jean",1
410,"Preuss, Nathan A.",1
411,"Rakestraw, Lacy",1
412,"Miller, James L. III",1
413,"Parks, Stephen",1
414,"O'Connell, Jane",1
415,"Hilkin, Elizabeth",1
416,"Durham, James G.",1
417,"Williams, Travis H.",1
418,"Cristobal, Kasia Solon",1
419,"Noel, Joseph",1
420,"Gaultier, Susan",1
421,"Ryan, Sarah",1
422,"Poretta, Jill M.",1
423,"Miller, Warner",1
424,"Moltzen, Robyn M.",1
425,"Koban, Lara",1
426,"Kissel, Sharon ",1
427,"Turner, Loren N.",1
428,"Willis, Clare Gaynor",1
429,"Peoples, Lee F.",1
430,"Smith, Doreen S.",1
431,"Dugas, Corie",1
432,"Caster, Joe",1
433,"Bilder, Mary Sarah",1
434,"Well, Julie",1
435,"Gaskill, William R.",1
436,"Benemann, William",1
437,"Evans, Will",1
438,"Lin, Sarah E. M.",1
439,"Robbins, Judd",1
440,"Kuzmich, Quinn",1
441,"Dixon, Edna S.",1
442,"Smith, Dorene S.",1
443,"Christensen, Rand",1
444,"Saint-Onge, Michael",1
445,"Wheeler, Ronald J. Jr.",1
446,"Shimpock, Kathy E.",1
447,"Sondregger, Dean",1
448,"Wilroy, Megan",1
449,"Burris, Marica",1
450,"Dyszlewski, Nicole",1
451,"Tubbs, Camilla",1
452,"Jones, Jessica Pisano",1
453,"Cochran, Wes",1
454,"Shaffer, Roberta I.",1
455,"Monte, Catherine M.",1
456,"Busscher, Courtney",1
457,"Green, Dustin",1
458,"Mattson, Ingrid",1
459,"Gerson, Kevin",1
460,"McKeen, Ruth E.",1
461,"Crosby, Connie",1
462,"Axelroth, Joan",1
463,"Blixrud, Julia",1
464,"Altmeyer, Susan M.",1
465,"Burchfield, Jessie",1
466,"Newcombe, Pat",1
467,"Chase, Ashley Krenelka",1
468,"Abate, Anne K.",1
469,"Frentzen, Ellen",1
470,"Placzek, Sandra B.",1
471,"Wester, Candle",1
472,"Parker, Eric",1
473,"Kautzman, Amy M.",1
474,"Dugan, Laura Olsen",1
475,"Coakley-Welch, Kevin",1
476,"Mattson, Rebecca",1
477,"Perla, David",1
478,"Hawkins, Jason",1
479,"Eubank, Elizabeth",1
480,"Giourgas, Annamarie ",1
481,"Southard, Doug",1
482,"Cates, Karen",1
483,"Crandall, Angie",1
484,"Daily-Herrman, Kathleen ",1
485,"Reynolds, Marcia",1
486,"Gregor, Pamela",1
487,"Wise, Sally H.",1
488,"Street, Leslie A.",1
489,"Ross, Eve",1
490,"Mattson, Rebecca A.",1
491,"Tarves, Theresa K.",1
492,"Gray, David",1
493,"Jackson, Darla W.",1
494,"Johnston, Janis L.",1
495,"Swift, Pari",1
496,"Owens, Nathan",1
497,"March, Virginia S.",1
498,"Jordan, Stephen R.",1
499,"Martin, Rebecca",1
500,"Anderson, Janice Snyder",1
501,"Leysen, Sherry L.",1
502,"Wolotira, Alena L.",1
503,"Outler, Elizabeth",1
504,"Donovan, Paul J.",1
505,"Lewis, Cynthia",1
506,"Placzek, Sandy",1
507,"Meadows, Judith ",1
508,"Demers, Annette",1
509,"McCormack, Nancy",1
510,"Brillon, Alicia",1
511,"Bryant, Virginia ",1
512,"Conte, Elizabeth",1
513,"Fletcher, Galen L.",1
514,"Margeton, Stephen G.",1
515,"Randtke, Wilhelmina",1
516,"Clarke, Kim",1
517,"Lenahan, Meghan",1
518,"Stellino, Maureen",1
519,"Drewitz, Jessica M.",1
520,"Vogel, Carissa J.",1
521,"Harrington, Lisa",1
522,"Liu, Joan",1
523,"Newman, Marie Stefanini",1
524,"Rucinski, Taryn L.",1
525,"Buckingham, Richard L.",1
526,"Silverman, Mitchell L.",1
527,"Williams, Colleen",1
528,"Qualey, Ellen",1
529,"Boeringer, Greta",1
530,"Burnett, Anne",1
531,"Sobey, Linda M.",1
532,"Aranas, Pauline",1
533,"Gregory, Pamela J.",1
534,"Brillatine, Frances M.",1
535,"Wale, Carla",1
536,"Bridges, Ruth",1
537,"Dermody, Rita",1
538,"Ching, Tina",1
539,"Scholtz, Nina E.",1
540,"Galfano, Paul",1
541,"Fletcher, Kathy",1
542,"Ensign, David",1
543,"Merring, Lynn Connor",1
544,"Okonska, Maria",1
545,"Robak, Michael J.",1
546,"Lau, Clement Chu-Sing",1
547,"Murtha, Mary Elizabeth",1
548,"Mills, Grace M.",1
549,"Endter, Anna L.",1
550,"Kevles, Barbara",1
551,"Parris, Carol J.",1
552,"Mecklenberg, Lisa",1
553,"Orr, Laura",1
554,"Shoemaker, Joy M.",1
555,"Dattalo, Elmo",1
556,"Alcasid, Hannah",1
557,"Larrington, Jane",1
558,"Bonacum, Leslie",1
559,"Pasqua, Barbara",1
560,"Street, Leslie",1
561,"Gerken, Joe",1
562,"LaPorte, Joshua",1
563,"Livnat, Hadas",1
564,"Aranes, Pauline M.",1
565,"Averett, Steve",1
566,"Cohn, Erika",1
567,"Pergament, Rachel",1
568,"Kuchl, Heidi Frostestad",1
569,"Drake, Trezlen",1
570,"O'Leary, Robert",1
571,"St. John, Ashley",1
572,"Woodard, Tracy L.",1
573,"Morgan, Patricia",1
574,"Carlson, Kathy",1
575,"Landwehr, Margaret",1
576,"McDonald, Anne",1
577,"Becker, Danielle A.",1
578,"Cochran, Cathleen",1
579,"Nye, Eva-Marie",1
580,"Shoemaker, Joy",1
581,"Haseltine, Jessica",1
582,"Rubin, Dana",1
583,"Hart, James",1
584,"Botek, Michelle",1
585,"Aggerbeck, Valerie",1
586,"Butler, Patrick",1
587,"DeMaine, Susan David",1
588,"Baker, Marcia L. Dority",1
589,"Popielarski, Mark",1
590,"Langland, Laurie ",1
591,"Wise, Beatrice ",1
592,"Woodhead, K. O.",1
593,"Fisher, Debra E.",1
594,"Keen, Andrew",1
595,"Lemmer, Cathrine A.",1
596,"Abramovitz, Louis C.",1
597,"Stacey, Marsha K.",1
598,"Sun, Cossette T.",1
599,"Cain, Charlene",1
600,"Saxon, Jonathan",1
601,"Delgado, Alexandra Lee",1
602,"Chapman, Pat",1
603,"Gatz, Paul J.",1
604,"Snyder, Fritz",1
605,"Lastres, Steven ",1
606,"Varnavas, Anna",1
607,"David, Shirley",1
608,"Sears, Dennis",1
609,"Lohmeier, Kerry",1
610,"Mergerman, Shira",1
611,"Andrea, Marissa",1
612,"Johnston, Hazel ",1
613,"Trippodo, Brian",1
614,"Tyler, Erica",1
615,"Allman, Kim",1
616,"Wimer, Jessica",1
617,"Feary, Ginger B.",1
618,"van Pottelsberghe, Bryan",1
619,"Levin, Sandra J.",1
