,Author,Number of Publications
0,"Whisner, Mary",66
1,"Keele, Benjamin J.",22
2,"Houdek, Frank G.",21
3,"Sexton, Nick",21
4,"Danner, Richard A.",20
5,"Wire, G. E.",16
6,"Surrency, Erwin C.",16
7,"Mersky, Roy M.",14
8,"Scott, Bettie",14
9,"Roalfe, William R.",13
10,"Thomas, David A.",13
11,"Holcomb, Jean M.",12
12,"Miller, Creighton J. Jr.",12
13,"Gardner, Dillard S.",12
14,"Marke, Julius J.",11
15,"Atchison, Amy",11
16,"Gallagher, Marian G.",11
17,"Price, Miles O.",10
18,"Halvorsen, Catherine F.",10
19,"Zell, Annmarie Jean",10
20,"Cohen, Morris L.",10
21,"Leary, Margaret A.",10
22,"Whisner, Mary ",10
23,"Jacobstein, J. Myron",9
24,"Murley, Diane",9
25,"Hicks, Frederick C.",9
26,"Howland, Joan S.",9
27,"Fitzpatrick, John T.",9
28,"Schanck, Peter C.",9
29,"Fishman, Joel",8
30,"Grossman, George S.",8
31,"Gasaway, Laura N.",8
32,"Poldervaart, Arie",8
33,"Lewis, Alfred J.",8
34,"Stern, William B.",8
35,"Jaque, Diana C.",7
36,"Danner, Dick",7
37,"Gabriel, Raquel J.",7
38,"Maxwell, Lynne F.",7
39,"Brenner, Saul",7
40,"Farmer, Frances",7
41,"Small, A. J.",7
42,"Bitner, Harry",7
43,"Wheeler, Ronald",7
44,"Saunders, Myra K.",7
45,"Carter, Nancy Carol",7
46,"Bander, Ed",6
47,"Briscoe, Georgia",6
48,"Sinder, Janet",6
49,"Jackson, Darla W.",6
50,"Gragg, Phillip",6
51,"Cadra, Laura",6
52,"Finley, Elizabeth",6
53,"Pollack, Ervin H.",6
54,"Drummond, Forrest S.",6
55,"Schwerin, Kurt",6
56,"deMaine, Susan David",6
57,"Hargrave, Helen",6
58,"Germain, Claire M.",6
59,"Mart, Susan Nevelow",6
60,"Forgeus, Elizabeth",6
61,"Kehoe, Patrick E.",6
62,"Emery, Robert A.",5
63,"Gee, Pauline E.",5
64,"Ochal, Bethany J.",5
65,"Heller, James S.",5
66,"Johnson, Nancy P.",5
67,"Bander, Edward J.",5
68,"Bluh, Pamela",5
69,"Zell, Annmarie",5
70,"Youmans, Alice I.",5
71,"Holt, A. Elizabeth",5
72,"Edwards, John D.",5
73,"Axel-Lute, Paul",5
74,"Martin, Peter W.",5
75,"Sellers, Christine L.",5
76,"Kavass, Igor I.",5
77,"Graham, Howard Jay",5
78,"Gonzalez, Silvia A.",5
79,"Berring, Robert C.",5
80,"Stebbins, Howard L.",5
81,"Matthews, Elizabeth W.",5
82,"Davies, Bernita J.",5
83,"Johnson, Bruce S.",5
84,"Moreland, Carroll C.",5
85,"Kenyon, Carleton W.",5
86,"Johnston, Janis L.",4
87,"Cannan, John",4
88,"Parma, Rosamond",4
89,"Mignanelli, Nicholas",4
90,"Taylor, Betty W.",4
91,"Hellyer, Paul",4
92,"Scott, Bettie H.",4
93,"Dee, Mathew F.",4
94,"Billings, Warren M.",4
95,"Blaustein, Albert P.",4
96,"Leiserson, Anna Belle",4
97,"Rosen, Louis M.",4
98,"Bintliff, Barbara",4
99,"Schwartz, Mortimer",4
100,"Foster, Lynn",4
101,"Baker, Jamie J.",4
102,"Hogan, John C.",4
103,"Allen, Cameron",4
104,"McKenzie, Elizabeth M.",4
105,"Slinger, Michael J.",4
106,"Healey, Paul D.",4
107,"Margeton, Stephen G.",4
108,"Duggan, James E.",4
109,"Ellenberger, Jack S.",4
110,"Morse, Anita L.",4
111,"Newman, Helen",4
112,"Nevers, Shawn G.",4
113,"Koster, Gregory E.",4
114,"Lang, Isa",4
115,"Kauffman, S. Blair",4
116,"Callister, Paul D.",4
117,"Grove, Kathleen S.",4
118,"Greenfield, Elizabeth A.",4
119,"Sterling, W. Clinton",4
120,"King, Dwight",4
121,"Lenz, Connie",4
122,"Wheeler, Ronald E.",4
123,"Reynolds, Thomas H.",4
124,"Miller, Creighton J.",4
125,"Dabagh, Thomas S.",4
126,"Glasier, Gilson G.",4
127,"Price, Kathleen",3
128,"Talley, Nancy B.",3
129,"Jarvis, Robert M.",3
130,"Borgeson, Earl C.",3
131,"Oakley, Robert L.",3
132,"Elliott, Lucile",3
133,"Schultz, Jon S.",3
134,"Bailey, James F. III",3
135,"Heckel, John W.",3
136,"Riggs, Laurie H.",3
137,"Pagel, Scott B.",3
138,"Shucha, Bonnie",3
139,"Smith, Frederick E.",3
140,"Hart, Edward T.",3
141,"Yirka, Carl A.",3
142,"Price, M. Kathleen",3
143,"Moylan, Helen S.",3
144,"Dick, Barrett",3
145,"Beardsley, Arthur S.",3
146,"Alford, Duncan E.",3
147,"Carrick, Kathleen",3
148,"Lukes, Frank",3
149,"Sears, Dennis S.",3
150,"McKavitt, Matthew A.",3
151,"Rogers, Ralph V.",3
152,"Bird, Viola A.",3
153,"Klingelsmith, Margaret Center",3
154,"Reams, Bernard D. Jr.",3
155,"Zhang, Alex",3
156,"Snyder, Fritz",3
157,"Newman, Marie Stefanini",3
158,"Dunn, Donald J.",3
159,"Azyndar, Susan",3
160,"Lyon, Frances D.",3
161,"Morse, Lewis W.",3
162,"Marks, Taryn",3
163,"Benemann, William E.",3
164,"Tree, Everdeen",3
165,"Will, Linda",3
166,"Murley, Diane ",3
167,"Barkan, Steven M.",3
168,"Werner, O. James",3
169,"Milles, James G.",3
170,"Roehrenbeck, Carol A.",3
171,"Makdisi, John",3
172,"Brecht, Albert",3
173,"Ellinger, Werner B.",3
174,"Lathrop, Olive C.",3
175,"Donovan, James M.",3
176,"Custer, Joseph A.",3
177,"Enyingi, Peter",3
178,"Prince, Huberta A.",3
179,"Shediac, Margaret",3
180,"Young, Stephen E.",3
181,"Thurston, Alyssa",3
182,"Mills, Robin K.",3
183,"Wu, Michelle M.",3
184,"Ruppenthal, J. C.",3
185,"Berkowitz, Rhoda L.",3
186,"Daly, Gail M.",3
187,"Hambleton, James",3
188,"Trelles, Oscar M.",3
189,"Schriefer, Kent",3
190,"Scott, Marianne",3
191,"Torres, Arturo L.",3
192,"Schwartz, Mortimer D.",3
193,"Kelsh, Virginia J.",3
194,"Westwood, Karen",2
195,"Moody, Myrtle A.",2
196,"O'Connor, Linda Karr",2
197,"Orman, Oscar C. ",2
198,"Gotschall, Sarah",2
199,"Alexander, W. H.",2
200,"Breuer, Ernest H.",2
201,"Dingledy, Frederick W.",2
202,"Bredemeyer, Carol",2
203,"Behrens, Jennifer L.",2
204,"Clarke, Oscar D.",2
205,"Roalfe, Helen",2
206,"Gruben, Karl",2
207,"Daniels, Wes",2
208,"Staheli, Kory D.",2
209,"Hudon, Edward G.",2
210,"Snook, Helen A.",2
211,"Losee, Madeleine W.",2
212,"Goldblatt, Margaret A.",2
213,"Stone, Dennis J.",2
214,"Brown, Kincaid C.",2
215,"Leonard, James",2
216,"Goldman, Pearl",2
217,"Anderson, Robert B.",2
218,"Campos, Martha Cook",2
219,"Pulling, Arthur C.",2
220,"Beck, Karen S.",2
221,"Katsh, Ethan",2
222,"James, Eldon R.",2
223,"Hoeflich, M. H.",2
224,"Cochran, J. Wesley",2
225,"Benyon, Elizabeth V.",2
226,"Kaiser, John Boynton",2
227,"Mettee, Andrew H.",2
228,"Field, O. J.",2
229,"Wajenberg, Arnold",2
230,"Goldberg, Jolande E.",2
231,"Lindquist, Raymond C.",2
232,"Hook, Peter A.",2
233,"Leiter, Richard A.",2
234,"Smith, Robert S.",2
235,"Samuels, Warren J.",2
236,"Moser, Annalee Hickman",2
237,"Godard, George S.",2
238,"Anson, Crystal",2
239,"Dyer, Charles R.",2
240,"Lynch, Michael J.",2
241,"Cooper, Byron D.",2
242,"Kearley, Timothy",2
243,"Sass, Stephen L.",2
244,"Jordan, Gamble",2
245,"Sargent, Mark A.",2
246,"Hoeflich, Michael H.",2
247,"McDaniel, Arthur S.",2
248,"Estes, Mark E.",2
249,"Vreeland, Robert C.",2
250,"Dupont, Jerry",2
251,"Wren, Jill Robinson",2
252,"Wren, Christopher G.",2
253,"Chipman, F. E.",2
254,"Hewitt, Luther E.",2
255,"Di Canio, Frank",2
256,"Emrich, J. Oscar",2
257,"Ensign, David",2
258,"Heuvel, Kathleen Vanden",2
259,"Quarles, Brandon D.",2
260,"McCluer, Molly",2
261,"Bintliff, Barbara A.",2
262,"Gummere, John S.",2
263,"Allred, Carol B.",2
264,"Thomas, Cherry",2
265,"Zagayko, Florence Ferner",2
266,"Johnston, George A.",2
267,"Watson, Benjamin",2
268,"Myers, Anne K.",2
269,"Cheney, Mari",2
270,"Cooper, Laura J.",2
271,"Merryman, John Henry",2
272,"Watts, Tim J.",2
273,"Leary, John C.",2
274,"Franklin, Jonathan A.",2
275,"Millican, Rita",2
276,"Stoljar, Samuel J.",2
277,"Murray, James M.",2
278,"Veit, Fritz",2
279,"Dahl, Richard C.",2
280,"Elliott, Lucile M.",2
281,"Malmquist, Katherine E.",2
282,"Smith, Louis Charles",2
283,"Dabney, Daniel P.",2
284,"Avalos, Francisco",2
285,"Guild, Frederic H.",2
286,"Garner, Kathy",2
287,"Janto, Joyce Manna",2
288,"Wallach, Kate",2
289,"Feazel, E. A.",2
290,"Petit, Michael J.",2
291,"Jeffries, John",2
292,"Logan, Robert G.",2
293,"Belgum, Kathie",2
294,"Schmehl, Lawrence H.",2
295,"Gilliam, Mary Cooper",2
