Title,Author,Citation,Issue,Type ,Description
,,1 Index to Legal Periodicals and Law Libr. J. [i] (1908),,titlepage,Title Page
Addresses and Articles\American Association of Law Libraries Proceedings and Reports,,1 Index to Legal Periodicals and Law Libr. J. [v] (1908),,index,Index to Volume 1
Proceedings of the Second Annual Meeting of the American Association of Law Libraries,,1 Index to Legal Periodicals and Law Libr. J. 1 (1908),Issue 1,notes,
,,1 Index to Legal Periodicals and Law Libr. J. 3 (1908),Issue 1,comments,Response
President's Address,,1 Index to Legal Periodicals and Law Libr. J. 4 (1908),Issue 1,comments,
Address at a Joint Session with the American Library Association,"Gilbert, Frank B.",1 Index to Legal Periodicals and Law Libr. J. 6 (1908),Issue 1,comments,The Law Library
Classification of Law Textbooks,"Berry, W. J. C.",1 Index to Legal Periodicals and Law Libr. J. 11 (1908),Issue 1,notes,
,,1 Index to Legal Periodicals and Law Libr. J. 18 (1908),Issue 1,notes,Reports of Committees
,,1 Index to Legal Periodicals and Law Libr. J. 30 (1908),Issue 1,editorial,Editorial
Authors' Index,,1 Index to Legal Periodicals and Law Libr. J. 33 (1908),Index to Legal Periodicals ,index,Index to Legal Periodicals
Subject Index,,1 Index to Legal Periodicals and Law Libr. J. 47 (1908),Index to Legal Periodicals ,index,Index to Legal Periodicals
,,1 Index to Legal Periodicals and Law Libr. J. 33 (1908),,index,Issue 2
Proceedings of the Third Annual Meeting,,1 Index to Legal Periodicals and Law Libr. J. 33 (1908),Issue 2,notes,
Proceedings of the Third Annual Meeting,,1 Index to Legal Periodicals and Law Libr. J. 41 (1908),Issue 3,notes,
Legislative Reference Work and the Law Library,"Lester, C. B.",1 Index to Legal Periodicals and Law Libr. J. 45 (1908),Issue 3,notes,
Cataloguing Law Books with Special Reference to Cooperative Indexing and Index Cards,"Glasier, Gilson G.",1 Index to Legal Periodicals and Law Libr. J. 50 (1908),Issue 3,notes,
Reports of Committee on Binding,,1 Index to Legal Periodicals and Law Libr. J. 55 (1908),Issue 3,notes,
The Bibliography of Canadian Statute Law,"Eakins, W. George",1 Index to Legal Periodicals and Law Libr. J. 61 (1908),Issue 3,notes,
"Check-List of Laws of Upper Canada, 1792-1818",,1 Index to Legal Periodicals and Law Libr. J. 72 (1908),Issue 3,index,Index
,,10 Law Libr. J. [i] (1917-1918),,titlepage,Title Page
,,10 Law Libr. J. [iii] (1917-1918),,contents,Table of Contents
"Coke's Reports, and the Anonymous Commentary on Littleton","Seymour, Charles B.",10 Law Libr. J. 1 (1917-1918),Issue 1,article,
Some By-Products from Worcester County Law Library,"Wire, G. E.",10 Law Libr. J. 3 (1917-1918),Issue 1,article,
,,10 Law Libr. J. 8 (1917-1918),Issue 1,notes,American Association of Law Libraries
,,10 Law Libr. J. 13 (1917-1918),Issue 1,notes,Notes on Legal Bibliography
,,10 Law Libr. J. 16 (1917-1918),Issue 1,index,American State Reports and Session Laws Exclusive of Side Reports
Recent Developments in International and Municipal Law,"Borchard, Edwin M.",10 Law Libr. J. 21 (1917-1918),Issue 2,article,
The Need for College Instruction in the Use of Law Books,"Foote, Mary S.",10 Law Libr. J. 25 (1917-1918),Issue 2,article,
,,10 Law Libr. J. 31 (1917-1918),Issue 2,notes,"American Association of Law Libraries-Proceedings of Annual Meeting June 23 and 25, 1917"
