Title,Author,Citation,Issue,Type ,Description,Year
Address at a Joint Session with the American Library Association,"Gilbert, Frank B.",1 Index to Legal Periodicals and Law Libr. J. 6 (1908),Issue 1,comments,The Law Library,1908
Classification of Law Textbooks,"Berry, W. J. C.",1 Index to Legal Periodicals and Law Libr. J. 11 (1908),Issue 1,notes,,1908
Legislative Reference Work and the Law Library,"Lester, C. B.",1 Index to Legal Periodicals and Law Libr. J. 45 (1908),Issue 3,notes,,1908
Cataloguing Law Books with Special Reference to Cooperative Indexing and Index Cards,"Glasier, Gilson G.",1 Index to Legal Periodicals and Law Libr. J. 50 (1908),Issue 3,notes,,1908
The Bibliography of Canadian Statute Law,"Eakins, W. George",1 Index to Legal Periodicals and Law Libr. J. 61 (1908),Issue 3,notes,,1908
"Coke's Reports, and the Anonymous Commentary on Littleton","Seymour, Charles B.",10 Law Libr. J. 1 (1917-1918),Issue 1,article,,1917
Some By-Products from Worcester County Law Library,"Wire, G. E.",10 Law Libr. J. 3 (1917-1918),Issue 1,article,,1917
Recent Developments in International and Municipal Law,"Borchard, Edwin M.",10 Law Libr. J. 21 (1917-1918),Issue 2,article,,1917
The Need for College Instruction in the Use of Law Books,"Foote, Mary S.",10 Law Libr. J. 25 (1917-1918),Issue 2,article,,1917
Law and Legislative Reference as Parts of a State Library,"Cobb, Maud B.",10 Law Libr. J. 51 (1917-1918),Issue 3,article,,1917
County Law Libraries and Their Services to the Community,"Wheeler, Sumner York",10 Law Libr. J. 55 (1917-1918),Issue 3,article,,1917
From the Editor: A New Century,"Sinder, Janet",100 Law Libr. J.  7 (2008),Issue 1,comments,Comment,2008
Preserving Our Heritage: Protecting Law Library Core Missions through Updated Library Quality Assessment Standards,"Lee, Sarah Hooke",100 Law Libr. J.  9 (2008),Issue 1,article,,2008
Discovering William Cook: Ten Sources for Reconstructing the Life of a Lawyer,"Leary, Margaret A.",100 Law Libr. J.  39 (2008),Issue 1,article,,2008
Does Form Follow Function - Academic Law Libraries' Organizational Structures for Collection Development ,"Lenz, Connie;Wohl, Helen",100 Law Libr. J.  59 (2008),Issue 1,article,,2008
Choosing the Top Candidate: Best Practices in Academic Law Library Hiring,"Wheeler, Ronald E.;Johnson, Nancy P.;Manion, Terrance K.",100 Law Libr. J.  117 (2008),Issue 1,article,,2008
The Essential Law Library Journal,"Houdek, Frank G.",100 Law Libr. J.  137 (2008),Issue 1,article,Law Library Journal Centennial Feature,2008
"Law Librarian, J.D. or Not J.D.","Whisner, Mary",100 Law Libr. J.  185 (2008),Issue 1,article,Practicing Reference...,2008
Office E-Mail: Burden or Blessing,"Holcomb, Jean M.",100 Law Libr. J.  191 (2008),Issue 1,article,Managing by the Book...,2008
What Is All the Fuss about Library 2.0,"Murley, Diane",100 Law Libr. J.  197 (2008),Issue 1,article,Technology for Everyone...,2008
"Georgetown Law Center Memorial Service November 6, 2007","Neal, James G.",100 Law Libr. J.  219 (2008),Issue 2,comments,Special Feature: A Tribute to Robert L. Oakley,2008
"En la Tierra del Ciego, el Tuerco es Rey: Problems with Current English-Spanish Legal Dictionaries, and Notes toward a Critical Comparative Legal Lexicography ","Kim-Prieto, Dennis C.",100 Law Libr. J.  251 (2008),Issue 2,article,,2008
An Unexpected Story: The History and Origins of Princeton's Long-Standing Tradition of Interdisciplinary Legal Scholarship,"Hollander, David A.",100 Law Libr. J.  279 (2008),Issue 2,article,,2008
Comparative Evaluation of Online Machine Translation Systems with Legal Texts,"Kit, Chunyu;Wong, Tak Ming",100 Law Libr. J.  299 (2008),Issue 2,article,,2008
Congressional Investigations: A Bibliography ,"Mantel, Matthew",100 Law Libr. J.  323 (2008),Issue 2,article,,2008
Law Library Journal: The First Fifty Years,"Davies, Bernita J.",100 Law Libr. J.  363 (2008),Issue 2,notes,Law Library Journal Centennial Feature,2008
"Dreaded Bluebook,The","Whisner, Mary",100 Law Libr. J.  393 (2008),Issue 2,article,Practicing Reference...,2008
Web Site Accessibility,"Murley, Diane",100 Law Libr. J.  401 (2008),Issue 2,article,Technology for Everyone...,2008
Legal Education and Technology II: An Annotated Bibliography ,"Goldman, Pearl ",100 Law Libr. J.  415 (2008),Issue 3,article,,2008
Where Will You Work - A Five-Year Statistical Analysis of AALL Job Placement Listings,"Gleason, Diana",100 Law Libr. J.  529 (2008),Issue 3,article,,2008
A Law Library Journal Centennial Timeline: Highlights from One Hundred Years of LLJ History,"Houdek, Frank G.",100 Law Libr. J.  541 (2008),Issue 3,notes,Law Library Journal Centennial Feature,2008
By the Book: Thoughts on the Future of Our Print Collections,"Reusch, Rita",100 Law Libr. J.  555 (2008),Issue 3,comments,Commentary,2008
Unanswerable Questions,"Whisner, Mary",100 Law Libr. J.  581 (2008),Issue 3,article,Practicing Reference...,2008
Got Ideas,"Holcomb, Jean M.",100 Law Libr. J.  587 (2008),Issue 3,article,Managing by the Book...,2008
In Defense of Wikipedia ,"Murley, Diane",100 Law Libr. J.  593 (2008),Issue 3,article,Technology for Everyone...,2008
Schoolhouse Rock Is No Longer Enough: The Presidential Signing Statements Controversy and Its Implications for Library Professionals,"Wang, I-Wei",100 Law Libr. J.  619 (2008),Issue 4,article,,2008
"Nursery of a Supreme Court Justice: The Library of James Harlan of Kentucky, Father of John Marshall Harlan","Metzmeier, Kurt X.;Campbell, Peter Scott",100 Law Libr. J.  639 (2008),Issue 4,article,,2008
Wrestling with an Elephant: A Selected Bibliography and Resource Guide on Global Climate Change,"Lang, Isa",100 Law Libr. J.  675 (2008),Issue 4,article,,2008
"Foreign, Comparative and International Law SIS ","Raisch, Marylin J.;Morais, Yasmin",100 Law Libr. J.  714 (2008),Issue 4,index,Law Library Journal Centennial Feature: AALL Special Interest Section Recommended Reading Lists,2008
Practicing Reference: Thoughts for Librarians and Legal Researchers,"Nevers, Shawn G.",100 Law Libr. J.  770 (2008),Issue 4,reviews,Review Article,2008
Seeking Inspiration,"Whisner, Mary",100 Law Libr. J.  773 (2008),Issue 4,article,Practicing Reference...,2008
New Perspectives on following the Leader,"Holcomb, Jean M.",100 Law Libr. J.  779 (2008),Issue 4,article,Managing by the Book...,2008
What Second Life Taught Me about Learning,"Murley, Diane",100 Law Libr. J.  787 (2008),Issue 4,article,Technology for Everyone...,2008
Not Just Key Numbers and Keywords Anymore: How User Interface Design Affects Legal Research,"Jones, Julie M. ",101 Law Libr. J. 7 (Winter 2009),Issue 1,article,,2009
"Legal Scholarship, Electronic Publishing, and Open Access: Transformation or Steadfast Stagnation","Plotin, Stephanie L.",101 Law Libr. J. 31 (Winter 2009),Issue 1,article,,2009
"Peer Review and Legal Publishing: What Law Librarians Need to Know about open, Single-Blind, and Double-Blind Reviewing","McCormack, Nancy ",101 Law Libr. J. 59 (Winter 2009),Issue 1,article,,2009
From Sheepskin Binding to Born Digital: One Hundred Years of Preservation in Law Library Journal,"Turpening, Patricia K. ",101 Law Libr. J. 71 (Winter 2009),Issue 1,article,,2009
Learning New Applications,"Whisner, Mary ",101 Law Libr. J. 115 (Winter 2009),Issue 1,article,Regular Feature,2009
Maintaining Your Competitive Edge,"Holcolmb, Jean M.",101 Law Libr. J. 121 (Winter 2009),Issue 1,article,Regular Feature,2009
The Power of RSS Feed,"Murley, Diane",101 Law Libr. J. 127 (Winter 2009),Issue 1,article,Regular Feature,2009
The Twenty-First Century Law Library,"Danner, Richard A.;Kauffman, S. Blair;Palfrey, John G. ",101 Law Libr. J. 143 (Spring 2009),Issue 2,article,General Article,2009
Research in the Wild: CALR and the Role of Informal Apprenticeship in Attorney Training,"Lihosit, Judith ",101 Law Libr. J. 157 (Spring 2009),Issue 2,article,General Article,2009
The Effect of Economics and Electronic Resources on the Traditional Law Library Print Collection,"Runyon, Amanda M. ",101 Law Libr. J. 177 (Spring 2009),Issue 2,article,General Article,2009
A Proposed Definition of the Term Lawyering,"Daniel, Josiah M. III",101 Law Libr. J. 207 (Spring 2009),Issue 2,article,General Article,2009
Book Review: Professional Liability Issues for Librarians and Information Professionals,"Greenfield, Elizabeth A.",101 Law Libr. J. 224 (Spring 2009),Issue 2,article,Review Article,2009
"Reviewing Frank G. Houdek, The First Century: One Hundred Years of AALL History","Niedringhaus, Kristina L.",101 Law Libr. J. 227 (Spring 2009),Issue 2,article,,2009
Mattress Tags and Pillow Case,"Whisner, Mary ",101 Law Libr. J. 235 (Spring 2009),Issue 2,article,Regular Features,2009
Law Libraries in the Cloud,"Murley, Diane",101 Law Libr. J. 249 (Spring 2009),Issue 2,article,Regular Features,2009
Profiling Minority Law Librarians: An Update,"Ballard-Thrower, Rhea;King, Dwight;Mills, Grace M.",101 Law Libr. J. 267 (Summer 2009),Issue 3,article,,2009
Law Firm Legal Research Requirements for New Attorneys,"Meyer, Patrick",101 Law Libr. J. 297 (Summer 2009),Issue 3,article,,2009
Assessing the Health of FOIA after 2000 through the Lens of the National Security Archive and Federal Government Audits,"Guy, Melissa;Oberlin, Melanie",101 Law Libr. J. 331 (Summer 2009),Issue 3,article,,2009
"Inspiring Innovation: Planning, Implementing, and Evaluating the Web 2.0 Challenge","Ginsberg, Deborah;Kribble, Meg;Shucha, Bonnie",101 Law Libr. J. 355 (Summer 2009),Issue 3,article,,2009
Getting Facts Straight (and Writing Well Too),"Whisner, Mary ",101 Law Libr. J. 399 (Summer 2009),Issue 3,article,Regular Feature,2009
Plays Well with Others,"Holcomb, Jean M.",101 Law Libr. J. 409 (Summer 2009),Issue 3,article,Regular Feature,2009
A Selective History of Technology in Law Libraries,"Murley, Diane",101 Law Libr. J. 415 (Summer 2009),Issue 3,article,Regular Feature,2009
The Law Librarian of the Twentieth and Twenty-First Centuries: A Figuration in Flux,"Belniak, Theodora",101 Law Libr. J. 427 (Fall 2009),Issue 4,article,General Article,2009
A Defense of the Public Domain: A Scholarly Essay,"Gasaway, Laura N.",101 Law Libr. J. 451 (Fall 2009),Issue 4,article,General Article,2009
Define Leader: The Definition and Development of Law Librarians as Leaders,"Mackoff, Barbara L. ",101 Law Libr. J. 471 (Fall 2009),Issue 4,article,General Article,2009
Protecting Intellectual Property in China: A Selective Bibliography and Resource for Research,"Hu, Robert H. ",101 Law Libr. J. 485 (Fall 2009),Issue 4,article,General Article,2009
The Twenty-First Century Law Library: A Law Firm's Librarian's Thoughts,"Heller, Heidi W. ",101 Law Libr. J. 517 (Fall 2009),Issue 4,comments,Commentary,2009
"The United States Code, Prima Facie Evidence, and Positive Law","Whisner, Mary ",101 Law Libr. J. 545 (Fall 2009),Issue 4,article,Regular Feature,2009
Glass Half Full,"Holcolmb, Jean M.",101 Law Libr. J. 557 (Fall 2009),Issue 4,article,Regular Feature,2009
A Learning Experience,"Murley, Diane",101 Law Libr. J. 563 (Fall 2009),Issue 4,article,Regular Feature,2009
Dissents from the Bench: A Compilation of Oral Dissents by U.S. Supreme Court Justices,"Duffy, Jill;Lambert, Elizabeth",102 Law Libr. J. 7 (2010),Issue 1,article,,2010
Indexing and Full-Text Coverage of Law Review Articles in Nonlegal Databases: An Initial Study,"Koulikov, Mikhail",102 Law Libr. J. 39 (2010),Issue 1,article,,2010
Ending Copyright Claims in State Primary Legal Materials: Toward an Open Source Legal System,"Fortney, Katie",102 Law Libr. J. 59 (2010),Issue 1,article,,2010
Sources of Washington State Legal History: An Annotated Bibliography,"Sterling, W. Clinton",102 Law Libr. J. 69 (2010),Issue 1,index,,2010
The Technology of Law,"Hibbitts, Bernard J.",102 Law Libr. J. 101 (2010),Issue 1,notes,Essay,2010
Change and Continuity (Rip Van Winkle's Reference Office),"Whisner, Mary",102 Law Libr. J. 141 (2010),Issue 1,article,Practicing Reference...,2010
Diversity in the Profession,"Gabriel, Raquel J.",102 Law Libr. J. 147 (2010),Issue 1,article,Diversity Dialogues...,2010
Emotional Intelligence: What Works at Work,"Maxwell, Lynne F.",102 Law Libr. J. 155 (2010),Issue 1,article,Making Management Work...,2010
Cornerstones of Law Libraries for an Era of Digital-Plus,"Palfrey, John",102 Law Libr. J. 171 (2010),Issue 2,article,,2010
Time to Blossom: An Inquiry into Bloom's Taxonomy as a Hierarchy and Means for Teaching Legal Research Skills,"Callister, Paul D.",102 Law Libr. J. 191 (2010),Issue 2,article,,2010
The Relevance of Results Generated by Human Indexing and Computer Algorithms: A Study of West's Headnotes and Key Numbers and LexisNexis's Headnotes and Topics,"Mart, Susan Nevelow",102 Law Libr. J. 221 (2010),Issue 2,article,,2010
The Universe of Thinkable Thoughts versus the Facts of Empirical Research,"Custer, Joseph A.",102 Law Libr. J. 251 (2010),Issue 2,article,,2010
Copyright Provisions in Law Journal Publication Agreements,"Keele, Benjamin J.",102 Law Libr. J. 269 (2010),Issue 2,article,,2010
Learning from Reference Experience,"Whisner, Mary",102 Law Libr. J. 309 (2010),Issue 2,article,Practicing Reference...,2010
Collaboration versus Communication: Selecting the Appropriate Tool,"Jackson, Darla W.",102 Law Libr. J. 315 (2010),Issue 2,article,Thinking about Technology...,2010
Twitter,"Gragg, Phillip;Sellers, Christine L.",102 Law Libr. J. 325 (2010),Issue 2,article,Back and Forth...,2010
First Amendment Limits on Library Collection Management,"Klinefelter, Anne",102 Law Libr. J. 343 (2010),Issue 3,article,,2010
The Creation and Transmission of Justinian's Novels,"Kearley, Timothy G.",102 Law Libr. J. 377 (2010),Issue 3,article,,2010
Finding the Middle Ground in Collection Development: How Academic Law Libraries Can Shape Their Collections in Response to the Call for More Practice-Oriented Legal Education,"Street, Leslie A.;Runyon, Amanda M.",102 Law Libr. J. 399 (2010),Issue 3,article,,2010
"The Official Bulletin, 1917-1919: A Proto-Federal Register","Emery, Robert A.",102 Law Libr. J. 441 (2010),Issue 3,article,,2010
Medico-Legal Research Using Evidence-Based Medicine,"Young, Caroline",102 Law Libr. J. 449 (2010),Issue 3,article,,2010
Enact Locally,"Whisner, Mary",102 Law Libr. J. 497 (2010),Issue 3,article,Practicing Reference...,2010
Tying Diversity to Organizational Culture,"Gabriel, Raquel J.",102 Law Libr. J. 507 (2010),Issue 3,article,Diversity Dialogues...,2010
2010: The Year of the iPad,"Jackson, Darla W.",102 Law Libr. J. 513 (2010),Issue 3,article,Thinking about Technology...,2010
The European Human Rights System,"Hart, James W.",102 Law Libr. J. 533 (2010),Issue 4,article,,2010
Way beyond Legal Research: Understanding the Research Habits of Legal Scholars,"Davidson, Stephanie",102 Law Libr. J. 561 (2010),Issue 4,article,,2010
Breaking Down Link Rot: The Chesapeake Project Legal Information Archive's Examination of URL Stability,"Rhodes, Sarah",102 Law Libr. J. 581 (2010),Issue 4,article,,2010
The Quality of Academic Law Library Online Catalogs and Its Effect on Information Retrieval,"Briscoe, Georgia ",102 Law Libr. J. 599 (2010),Issue 4,article,,2010
The Historical and Legal Underpinnings of Access to Public Documents,"Martin, Shannon E.;Lanosga, Gerry",102 Law Libr. J. 613 (2010),Issue 4,article,,2010
The Rewards of Tedium,"Whisner, Mary ",102 Law Libr. J. 657 (2010),Issue 4,article,Practicing Reference...,2010
The Future of Library Collections,"Sellers, Christine L.;Gragg, Phillip",102 Law Libr. J. 665 (2010),Issue 4,article,Back and Forth...,2010
The Need for Faculty Status and Uniform Tenure Requirements for Law Librarians,"Parker, Carol A.",103 Law Libr. J. 7 (Winter 2011),Issue 1,article,,2011
The Durham Statement Two Years Later: Open Access in the Law School Journal Environment,"Danner, Richard A.;Leong, Kelly;Miller, Wayne V.",103 Law Libr. J. 39 (Winter 2011),Issue 1,article,,2011
HeinOnline and Law Review Citation Patterns,"Lowe, M. Sara;Wallace, Karen L.",103 Law Libr. J. 55 (Winter 2011),Issue 1,article,,2011
A Survey of Electronic Research Alternatives to LexisNexis and Westlaw in Law Firms,"Justiss, Laura K.",103 Law Libr. J. 71 (Winter 2011),Issue 1,article,,2011
Law Library Budgets in Hard Times,"Fitchett, Taylor;Hambleton, James;Hazelton, Penny;Klinefelter, Anne",103 Law Libr. J. 91 (Winter 2011),Issue 1,article,,2011
"Thinking, Writing, Sharing, Blogging: Lessons Learned from Implementing a Law Library Blog","Steele, Jordon;Greenlee, Ed",103 Law Libr. J. 113 (Winter 2011),Issue 1,article,,2011
Work Crunch,"Whisner, Mary",103 Law Libr. J. 147 (Winter 2011),Issue 1,article,Practicing Reference...,2011
Standard Bar Codes Beware - Smartphone Users May Prefer QR Codes,"Jackson, Daria W.",103 Law Libr. J. 153 (Winter 2011),Issue 1,article,Thinking about Technology...,2011
Black's Law Dictionary: The Making of an American Standard,"Yates, Sarah",103 Law Libr. J. 175 (Spring 2011),Issue 2,article,,2011
Tenure Advice for Law Librarians and Their Directors,"Parker, Carol A.",103 Law Libr. J. 199 (Spring 2011),Issue 2,article,,2011
"The Trap of Medium-Neutral Citation, or Why a Historical-Critical Edition of State Constitutions is Necessary","Dippel, Horst",103 Law Libr. J. 219 (Spring 2011),Issue 2,article,,2011
Database Ownership: Myth or Reality,"Smith, Sallie;Leers, Susanna;Roncevich, Patricia",103 Law Libr. J. 233 (Spring 2011),Issue 2,article,,2011
Condominium Homeownership in the United States: A Selected Annotated Bibliography of Legal Sources,"Bennett, Donna S.",103 Law Libr. J. 249 (Spring 2011),Issue 2,article,,2011
A Response to the Durham Statement Two Years Later,"Leary, Margaret A.",103 Law Libr. J. 281 (Spring 2011),Issue 2,comments,Commentary,2011
Book Review: Introduction to Law Firm Practice,"Greenfield, Elizabeth A.",103 Law Libr. J. 294 (Spring 2011),Issue 2,article,Review Article,2011
"Relevance, Choices, and the Goldilocks Problem","Whisner, Mary",103 Law Libr. J. 307 (Spring 2011),Issue 2,article,Practicing Reference,2011
Finding Common Ground,"Gabriel, Raquel J.",103 Law Libr. J. 313 (Spring 2011),Issue 2,article,Diversity Dialogues,2011
The Role of Conferences,"Sellers, Christine;Gragg, Phillip",103 Law Libr. J. 319 (Spring 2011),Issue 2,article,Back and Forth,2011
Universal Citation and the American Association of Law Libraries: A White Paper,"Bilings, Carol;Cannan, John;Carlson, Kathy;Kauger, Yvonne",103 Law Libr. J. 331 (Summer 2011),Issue 3,article,,2011
Does WestlawNext Really Change Everything - The Implications of WestlawNext on Legal Research,"Wheeler, Ronald E.",103 Law Libr. J. 359 (Summer 2011),Issue 3,article,,2011
A Different Question of Open Access: Is There a Public Access Right to Academic Libraries in the United States and Canada,"Kaufman, Amy",103 Law Libr. J. 379 (Summer 2011),Issue 3,article,,2011
Task Mastery in Legal Research Instruction,"Cordon, Matthew C.",103 Law Libr. J. 395 (Summer 2011),Issue 3,article,,2011
Should You Use a Textbook to Teach Legal Research,"Johnson, Nancy P.",103 Law Libr. J. 415 (Summer 2011),Issue 3,article,,2011
Technology Management Trends in Law Schools,"Watson, Carol A.;Reeves, Larry",103 Law Libr. J. 441 (Summer 2011),Issue 3,article,,2011
Editing Justinian's Corpus: A Study of the Paul Krueger Archive,"Hessler, John",103 Law Libr. J. 459 (Summer 2011),Issue 3,article,,2011
Everyday Research,"Whisner, Mary",103 Law Libr. J. 491 (Summer 2011),Issue 3,article,Practicing Reference,2011
"Watson, Answer Me This: Will You Make Librarians Obsolete or Can I Use Free and Open Source Software and Cloud Computing to Ensure a Bright Future","Jackson, Darla W.",103 Law Libr. J. 497 (Summer 2011),Issue 3,article,Thinking about Technology,2011
Memorial and Appreciation for Earl C. Borgeson (1922-2010),"Houdek, Frank G.",103 Law Libr. J. 507 (Summer 2011),Issue 3,comments,Tribute to Earl C. Borgeson,2011
Earl C. Borgeson's Ten Rules for Law Library Management,"Daly, Gail M.",103 Law Libr. J. 515 (Summer 2011),Issue 3,comments,Tribute to Earl C. Borgeson,2011
Building a Collaborative Digital Collection: A Necessary Evolution in Libraries,"Wu, Michelle M.",103 Law Libr. J. 527 (Fall 2011),Issue 4,article,,2011
Citation Advantage of Open Access Legal Scholarship,"Donovan, James M.;Watson, Carol A.",103 Law Libr. J. 553 (Fall 2011),Issue 4,article,,2011
The Practitioners' Council: Connecting Legal Research Instruction and Current Legal Research Practice,"Armond, David L.;Nevers, Shawn G.",103 Law Libr. J. 575 (Fall 2011),Issue 4,article,,2011
The Road Not Yet Taken: How Law Student Information Literacy Standards Address Identified Issues in Legal Research Education and Training,"Kim-Prieto, Dennis",103 Law Libr. J. 605 (Fall 2011),Issue 4,article,,2011
The Use of Non-MARC Metadata in AALL Libraries: A Baseline Study,"Richards, Robert ",103 Law Libr. J. 631 (Fall 2011),Issue 4,article,,2011
Writing Buddies,"Whisner, Mary ",103 Law Libr. J. 677 (Fall 2011),Issue 4,article,Practicing Reference,2011
Managing Conflict,"Gabriel, Raquel J. ",103 Law Libr. J. 685 (Fall 2011),Issue 4,article,Diversity Dialogues,2011
"Dress for Success - The Battle for Class, Comfort, and Sexual Equality","Sellers, Christine L.;Gragg, Phillip",103 Law Libr. J. 691 (Fall 2011),Issue 4,article,Back and Forth,2011
In Praise of Morris L. Cohen's Bibliography of Early American Law,"Cohen, Daniel A.",104 Law Libr. J. 25 (2012),Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
Morris L. Cohen: A Reminiscence,"Arnold, Morris S.",104 Law Libr. J. 29 (2012),Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
Memories of Morris - And How I Use His BEAL,"Luttrell, Jordan D.",104 Law Libr. J. 31 (2012),Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
Morris Cohen and Rare Book School,"Warrington, David",104 Law Libr. J. 33 (2012),Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
Morris Cohen and the Art of Book Collecting,"Widener, Michael",104 Law Libr. J. 39 (2012),Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
Cornerstones for Enduring Law Libraries: Morris Cohen's Influence at Yale,"Kauffman, S. Blair",104 Law Libr. J. 45 (2012),Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
Birth of a Nutshell: Morris Cohen in the 1960s,"Olson, Kent C.",104 Law Libr. J. 53 (2012),Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
The End of Scholarly Bibliography: Reconceptualizing Law Librarianship,"Berring, Robert C.",104 Law Libr. J. 69 (2012),Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
Appeals to the Privy Council before American Independence: An Annotated Digital Catalogue,"O'Connor, Sharon Hamby;Bilder, Mary Sarah",104 Law Libr. J. 83 (2012),Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
Booksellers in Court: Approaches to the Legal History of Copyright in England before 1842,"Raven, James",104 Law Libr. J. 115 (2012),Issue 1,comments,A Tribute to Morris L. Cohen (1927-2010),2012
Most Congenial Lawyer/Bibliographer,"Whisner, Mary",104 Law Libr. J. 135 (2012),Issue 1,article,A Tribute to Morris L. Cohen (1927-2010),2012
"Restoring the Public Library Ethos: Copyright, E-Licensing, and the Future of Librarianship","Cross, William M.",104 Law Libr. J. 195 (2012),Issue 2,article,,2012
Resource-Based Learning and Course Design: A Brief Theoretical Overview and Practical Suggestions,"Butler, Margaret",104 Law Libr. J. 219 (2012),Issue 2,article,,2012
WikiLeaks: A Guide for American Law Librarians,"Kelly, James P. Jr.",104 Law Libr. J. 245 (2012),Issue 2,article,,2012
Cancellation of Print Primary Sources in Canadian Academic Law Libraries,"McCormack, Nancy",104 Law Libr. J. 263 (2012),Issue 2,article,,2012
Donating and Procuring Organs: An Annotated Bibliography,"Sirico, Louis J. Jr. ",104 Law Libr. J. 285 (2012),Issue 2,article,,2012
Fifty More Constitutions,"Whisner, Mary",104 Law Libr. J. 331 (2012),Issue 2,article,Practicing Reference,2012
WestlawNext and Lexis Advance,"Sellers, Christine L.;Gragg, Phillip",104 Law Libr. J. 341 (2012),Issue 2,article,Back and Forth,2012
Addressing the Emerging Majority: Racial and Ethnic Diversity in Law Librarianship in the Twenty-First Century,"Thurston, Alyssa",104 Law Libr. J. 359 (2012),Issue 3,article,,2012
How Librarians Can Help Improve Law Journal Publishing,"Keele, Benjamin J.;Pearse, Michelle",104 Law Libr. J. 383 (2012),Issue 3,article,,2012
The Long Tail of Legal Information: Legal Reference Service in the Age of the Content Farm,"Sims, R. Lee;Munoz, Roberta",104 Law Libr. J. 411 (2012),Issue 3,article,,2012
A Survey of Index to Foreign Legal Periodicals Users and Its Implications for Future Developments of the Index,"Dingle, Lesley",104 Law Libr. J. 427 (2012),Issue 3,article,,2012
Marginal Workers: How Legal Fault Lines Divide Workers and Leave Them without Protection,"Sayward, Jacob",104 Law Libr. J. 450 (2012),Issue 3,reviews,Book Review,2012
