,Title,Author,Citation,Issue,Type ,Description,Year
0,Address at a Joint Session with the American Library Association,"Gilbert, Frank B.",1 Index to Legal Periodicals and Law Libr. J. 6 (1908),Issue 1,comments,The Law Library,1908
1,Classification of Law Textbooks,"Berry, W. J. C.",1 Index to Legal Periodicals and Law Libr. J. 11 (1908),Issue 1,notes,,1908
2,Legislative Reference Work and the Law Library,"Lester, C. B.",1 Index to Legal Periodicals and Law Libr. J. 45 (1908),Issue 3,notes,,1908
3,Cataloguing Law Books with Special Reference to Cooperative Indexing and Index Cards,"Glasier, Gilson G.",1 Index to Legal Periodicals and Law Libr. J. 50 (1908),Issue 3,notes,,1908
4,The Bibliography of Canadian Statute Law,"Eakins, W. George",1 Index to Legal Periodicals and Law Libr. J. 61 (1908),Issue 3,notes,,1908
5,"Coke's Reports, and the Anonymous Commentary on Littleton","Seymour, Charles B.",10 Law Libr. J. 1 (1917-1918),Issue 1,article,,1917
6,Some By-Products from Worcester County Law Library,"Wire, G. E.",10 Law Libr. J. 3 (1917-1918),Issue 1,article,,1917
7,Recent Developments in International and Municipal Law,"Borchard, Edwin M.",10 Law Libr. J. 21 (1917-1918),Issue 2,article,,1917
8,The Need for College Instruction in the Use of Law Books,"Foote, Mary S.",10 Law Libr. J. 25 (1917-1918),Issue 2,article,,1917
9,Law and Legislative Reference as Parts of a State Library,"Cobb, Maud B.",10 Law Libr. J. 51 (1917-1918),Issue 3,article,,1917
10,County Law Libraries and Their Services to the Community,"Wheeler, Sumner York",10 Law Libr. J. 55 (1917-1918),Issue 3,article,,1917
11,From the Editor: A New Century,"Sinder, Janet",100 Law Libr. J.  7 (2008),Issue 1,comments,Comment,2008
12,Preserving Our Heritage: Protecting Law Library Core Missions through Updated Library Quality Assessment Standards,"Lee, Sarah Hooke",100 Law Libr. J.  9 (2008),Issue 1,article,,2008
13,Discovering William Cook: Ten Sources for Reconstructing the Life of a Lawyer,"Leary, Margaret A.",100 Law Libr. J.  39 (2008),Issue 1,article,,2008
14,Does Form Follow Function - Academic Law Libraries' Organizational Structures for Collection Development ,"Lenz, Connie;Wohl, Helen",100 Law Libr. J.  59 (2008),Issue 1,article,,2008
15,Choosing the Top Candidate: Best Practices in Academic Law Library Hiring,"Wheeler, Ronald E.;Johnson, Nancy P.;Manion, Terrance K.",100 Law Libr. J.  117 (2008),Issue 1,article,,2008
16,The Essential Law Library Journal,"Houdek, Frank G.",100 Law Libr. J.  137 (2008),Issue 1,article,Law Library Journal Centennial Feature,2008
17,Keeping up with New Legal Titles,"Atchison, Amy;Cadra, Laura",100 Law Libr. J.  169 (2008),Issue 1,article,Review Article,2008
18,"Law Librarian, J.D. or Not J.D.","Whisner, Mary",100 Law Libr. J.  185 (2008),Issue 1,article,Practicing Reference...,2008
19,Office E-Mail: Burden or Blessing,"Holcomb, Jean M.",100 Law Libr. J.  191 (2008),Issue 1,article,Managing by the Book...,2008
20,What Is All the Fuss about Library 2.0,"Murley, Diane",100 Law Libr. J.  197 (2008),Issue 1,article,Technology for Everyone...,2008
21,Robert L. Oakley: In Memoriam,"Bedard, Laura A.;Jayasuriya, H. Kumar;Monroe, Barbara R.;Raisch, Marylin J.",100 Law Libr. J.  217 (2008),Issue 2,comments,Special Feature: A Tribute to Robert L. Oakley,2008
22,"Georgetown Law Center Memorial Service November 6, 2007","Neal, James G.",100 Law Libr. J.  219 (2008),Issue 2,comments,Special Feature: A Tribute to Robert L. Oakley,2008
23,Remembering Bob Oakley,"Alford, Duncan;Anderson, Steven P.",100 Law Libr. J.  227 (2008),Issue 2,comments,Special Feature: A Tribute to Robert L. Oakley,2008
24,"En la Tierra del Ciego, el Tuerco es Rey: Problems with Current English-Spanish Legal Dictionaries, and Notes toward a Critical Comparative Legal Lexicography ","Kim-Prieto, Dennis C.",100 Law Libr. J.  251 (2008),Issue 2,article,,2008
25,An Unexpected Story: The History and Origins of Princeton's Long-Standing Tradition of Interdisciplinary Legal Scholarship,"Hollander, David A.",100 Law Libr. J.  279 (2008),Issue 2,article,,2008
26,Comparative Evaluation of Online Machine Translation Systems with Legal Texts,"Kit, Chunyu;Wong, Tak Ming",100 Law Libr. J.  299 (2008),Issue 2,article,,2008
27,Congressional Investigations: A Bibliography ,"Mantel, Matthew",100 Law Libr. J.  323 (2008),Issue 2,article,,2008
28,Law Library Journal: The First Fifty Years,"Davies, Bernita J.",100 Law Libr. J.  363 (2008),Issue 2,notes,Law Library Journal Centennial Feature,2008
29,Keeping up with New Legal Titles,"Atchison, Amy;Cadra, Laura",100 Law Libr. J.  375 (2008),Issue 2,article,Review Article,2008
30,"Dreaded Bluebook,The","Whisner, Mary",100 Law Libr. J.  393 (2008),Issue 2,article,Practicing Reference...,2008
31,Web Site Accessibility,"Murley, Diane",100 Law Libr. J.  401 (2008),Issue 2,article,Technology for Everyone...,2008
32,Legal Education and Technology II: An Annotated Bibliography ,"Goldman, Pearl ",100 Law Libr. J.  415 (2008),Issue 3,article,,2008
33,Where Will You Work - A Five-Year Statistical Analysis of AALL Job Placement Listings,"Gleason, Diana",100 Law Libr. J.  529 (2008),Issue 3,article,,2008
34,A Law Library Journal Centennial Timeline: Highlights from One Hundred Years of LLJ History,"Houdek, Frank G.",100 Law Libr. J.  541 (2008),Issue 3,notes,Law Library Journal Centennial Feature,2008
35,By the Book: Thoughts on the Future of Our Print Collections,"Reusch, Rita",100 Law Libr. J.  555 (2008),Issue 3,comments,Commentary,2008
36,Keeping up with New Legal Titles,"Atchison, Amy;Cadra, Laura",100 Law Libr. J.  563 (2008),Issue 3,article,Review Article,2008
