,Title,Author,Citation,Issue,Type ,Description,Year
3,"End of West(ern) Civilization, The ","Stephens, Joe K.",1 AALL Spectrum 6 (1996-1997),Issue 1,notes,Spectrumail,1996
4,Washington Brief,"Baish, Mary Alice ",1 AALL Spectrum 8 (1996-1997),Issue 1,comments,Comment,1996
5,Fear and Loathing at the Reference Desk: A New Look at the Pro Se Patrons,"Healey, Paul D. ",1 AALL Spectrum 10 (1996-1997),Issue 1,article,Feature,1996
6,Law Librarianship: Rebirth or Buried Alive,"McNeill, John ",1 AALL Spectrum 12 (1996-1997),Issue 1,article,Feature,1996
9,In Their Faces: Strategic Positioning for Law Librarians,"Koslov, Marcia",1 AALL Spectrum 27 (1996-1997),Issue 1,article,Delivering the Message: Indianapolis,1996
10,Men at Work/Minds at Risk: The All-Male Reference Experiment ,"Brown, Ladd ",1 AALL Spectrum 40 (1996-1997),Issue 1,article,Feature,1996
12,Washington Brief,"Baish, Mary Alice",1 AALL Spectrum 4 (1996-1997),Issue 2,notes,Notes,1996
13,"Once and Future World of US Legal Publishing, The ","Heroy, Donna Tuke ",1 AALL Spectrum 6 (1996-1997),Issue 2,article,Feature,1996
14,Technology and the Courts: An Interview with the Honorable George Nicholson,"David, Shirley H. ",1 AALL Spectrum 10 (1996-1997),Issue 2,comments,Feature,1996
15,Digital Information Access for Law Library Patrons with Disabilities: Opportunities and Challenges,"Thomas, Virginia C. ",1 AALL Spectrum 14 (1996-1997),Issue 2,article,Feature      ,1996
16,Natural Born Killers: An Argument against Teaching Natural Language Searching,"Kunsch, Kelly ",1 AALL Spectrum 16 (1996-1997),Issue 2,article,Feature,1996
17,AALL 1996 Survey of Members - Summary Report,"Geraci, John;Meagher, Coleen",1 AALL Spectrum 18 (1996-1997),Issue 2,notes,Feature      ,1996
20,News from the Council of Law Library Consortia ,"Bernau, Brent ",1 AALL Spectrum 33 (1996-1997),Issue 2,notes,Feature,1996
21,A Reference Librarian's Mutilation Policy,"Gerdy, Kristin B. ;Staheli, Kory D. ",1 AALL Spectrum 44 (1996-1997),Issue 2,notes,Feature,1996
23,Can I Be Renewed - You Betcha,"Houdek, Frank G. ",1 AALL Spectrum 4 (1996-1997),Issue 3,comments,Presidential Proclamation,1996
25,Washington Brief,"Baish, Mary Alice ",1 AALL Spectrum 7 (1996-1997),Issue 3,notes,Notes,1996
26,Intranets: Why There's No Need for a [sic],"White, Adrian Sherwood ",1 AALL Spectrum 8 (1996-1997),Issue 3,article,Feature,1996
27,Law Librarians as CALI Authors - Why Not,"Mayer, John P. ",1 AALL Spectrum 12 (1996-1997),Issue 3,article,Feature,1996
28,Attorney Use of the Internet: Training Is the Key,"Abate, Anne K. ",1 AALL Spectrum 14 (1996-1997),Issue 3,article,Feature,1996
31,"What Message Are We Delivering - Or, Carpe Diem  ","Bowie, Cathryn E. ",1 AALL Spectrum 36 (1996-1997),Issue 3,article,Feature,1996
34,Washington Brief,"Baish, Mary Alice",1 AALL Spectrum 6 (1996-1997),Issue 4,notes,Notes,1996
35,"Worst Thing That Could Happen - Law Library Disasters and Preparing for the Unimaginable, The","Anglim, Christopher",1 AALL Spectrum 8 (1996-1997),Issue 4,article,Feature,1996
37,LIBClient: An Internet Legal Research Tool,"Dempsey, Bert J.;Vreeland, Robert C.",1 AALL Spectrum 22 (1996-1997),Issue 4,article,Feature,1996
41,NE96: The End of the Story,"Sullivan, Kathie;Matthewman, Anne",1 AALL Spectrum 37 (1996-1997),Issue 4,notes,Feature,1996
42,"Seasonal Carol, A","Brown, Ladd",1 AALL Spectrum 48 (1996-1997),Issue 4,notes,Feature,1996
45,Washington Brief,"Baish, Mary Alice",1 AALL Spectrum 8 (1996-1997),Issue 5,comments,Comment,1996
46,"Six Days among Road Warriors - Notes from the ASIS Annual Meeting, Baltimore, October 19-24, 1996","Cornaby, Mary",1 AALL Spectrum 9 (1996-1997),Issue 5,notes,Feature,1996
47,Citation to Electronic Documents Takes a Small Step Forward,"Giangrande, Mark",1 AALL Spectrum 12 (1996-1997),Issue 5,article,Feature,1996
48,Shaping Your Future: Law Librarians as Key Performers,"Downing, Kathryn M.",1 AALL Spectrum 14 (1996-1997),Issue 5,article,Feature,1996
50,Broadening the Scope of Membership,"Meadows, Judy",1 AALL Spectrum 20 (1996-1997),Issue 5,article,Feature,1996
51,Recent Board Actions,"Siebers, Susan P.",1 AALL Spectrum 22 (1996-1997),Issue 5,notes,Feature,1996
52,Brian and Me,"Stephens, Joe",1 AALL Spectrum 25 (1996-1997),Issue 5,article,Feature,1996
55,Presidential Proclamation,"Houdek, Frank G.",1 AALL Spectrum 4 (1996-1997),Issue 6,comments,Presidential Proclamation,1996
57,Washington Brief,"Baish, Mary Alice",1 AALL Spectrum 6 (1996-1997),Issue 6,comments,Comment,1996
58,Planning for Technology,"Cullen, Terry A.",1 AALL Spectrum 7 (1996-1997),Issue 6,article,Feature,1996
59,What Librarians Should Know about the American Law Institute and ALI-ABA,"Kyriakodis, Harry",1 AALL Spectrum 10 (1996-1997),Issue 6,article,Feature,1996
60,Electronic Publication Covers Legislative Research,"Giangrande, Mark",1 AALL Spectrum 13 (1996-1997),Issue 6,article,Feature,1996
62,Open All Night - A Circulation Fantasy,"Kleinschmidt, Bruce",1 AALL Spectrum 25 (1996-1997),Issue 6,article,Feature,1996
64,Washington Brief,"Baish, Mary Alice",1 AALL Spectrum 4 (1996-1997),Issue 7,comments,Comment,1996
67,"Baltimore Sampler: Charm City at a Glance, A","Morrison, Anne",1 AALL Spectrum 15 (1996-1997),Issue 7,article,Feature,1996
69,AALL Board Report,"Siebers, Susan P.",1 AALL Spectrum 22 (1996-1997),Issue 7,notes,Feature,1996
75,"Oscar Night Fantasy... Barbara and A.J., An","Houdek, Frank G.",1 AALL Spectrum 4 (1996-1997),Issue 8,comments,Presidential Proclamation,1996
76,Washington Brief,"Baish, Mary Alice",1 AALL Spectrum 7 (1996-1997),Issue 8,notes,Notes,1996
77,Law Librarians - Positioning for Our Future Impact on the Legal Community,"Siebers, Susan P.",1 AALL Spectrum 8 (1996-1997),Issue 8,article,Feature,1996
79,Current Awareness in the Law: Legal Periodical Information,"Ebbinghouse, Carol",1 AALL Spectrum 15 (1996-1997),Issue 8,article,Feature,1996
81,"Lawyers of Summer: Confessions of a Born-Again Law Librarian Baseball Fanatic, The","Cornaby, Mary",1 AALL Spectrum 20 (1996-1997),Issue 8,article,Feature,1996
82,"Emperor's New Clothes Are on the Internet, The","Todd, Kay",1 AALL Spectrum 32 (1996-1997),Issue 8,comments,Feature,1996
