Title,Author,Citation,Issue,Type ,Description
,,1 AALL Spectrum [i] (1996-1997),,titlepage,Title Page
,,1 AALL Spectrum 2 (1996-1997),Issue 1,contents,Table of Contents - Issue 1
,"Houdek, Frank G. ",1 AALL Spectrum 4 (1996-1997),Issue 1,comments,Presidential Proclamation
"End of West(ern) Civilization, The ","Stephens, Joe K.",1 AALL Spectrum 6 (1996-1997),Issue 1,notes,Spectrumail
Washington Brief,"Baish, Mary Alice ",1 AALL Spectrum 8 (1996-1997),Issue 1,comments,Comment
Fear and Loathing at the Reference Desk: A New Look at the Pro Se Patrons,"Healey, Paul D. ",1 AALL Spectrum 10 (1996-1997),Issue 1,article,Feature
Law Librarianship: Rebirth or Buried Alive,"McNeill, John ",1 AALL Spectrum 12 (1996-1997),Issue 1,article,Feature
"Future of the Law Firm Library, The ",,1 AALL Spectrum 14 (1996-1997),Issue 1,comments,Feature - AALL Electronic Roundtable
,,1 AALL Spectrum 20 (1996-1997),Issue 1,comments,Delivering the Message: Indianapolis: Program Reviews          
In Their Faces: Strategic Positioning for Law Librarians,"Koslov, Marcia",1 AALL Spectrum 27 (1996-1997),Issue 1,article,Delivering the Message: Indianapolis
Men at Work/Minds at Risk: The All-Male Reference Experiment ,"Brown, Ladd ",1 AALL Spectrum 40 (1996-1997),Issue 1,article,Feature
,,1 AALL Spectrum 2 (1996-1997),Issue 2,contents,Table of Contents - Issue 2
Washington Brief,"Baish, Mary Alice",1 AALL Spectrum 4 (1996-1997),Issue 2,notes,Notes
"Once and Future World of US Legal Publishing, The ","Heroy, Donna Tuke ",1 AALL Spectrum 6 (1996-1997),Issue 2,article,Feature
Technology and the Courts: An Interview with the Honorable George Nicholson,"David, Shirley H. ",1 AALL Spectrum 10 (1996-1997),Issue 2,comments,Feature
Digital Information Access for Law Library Patrons with Disabilities: Opportunities and Challenges,"Thomas, Virginia C. ",1 AALL Spectrum 14 (1996-1997),Issue 2,article,Feature      
Natural Born Killers: An Argument against Teaching Natural Language Searching,"Kunsch, Kelly ",1 AALL Spectrum 16 (1996-1997),Issue 2,article,Feature
AALL 1996 Survey of Members - Summary Report,"Geraci, John;Meagher, Coleen",1 AALL Spectrum 18 (1996-1997),Issue 2,notes,Feature      
President's Briefing - Access to Government Information in the Electronic Age,,1 AALL Spectrum 21 (1996-1997),Issue 2,notes,Feature       
